name,peak_no,peak_values,Time
MUZAFFARGARH,p4,0,3/2/2022 18:15
MUZAFFARGARH,p5,0,3/2/2022 18:30
MUZAFFARGARH,p6,0,3/2/2022 18:45
MUZAFFARGARH,p7,0,3/2/2022 19:15
MUZAFFARGARH,p8,0,3/2/2022 19:30
MUZAFFARGARH,p9,0,3/2/2022 19:45
MULTAN,p1,0,3/2/2022 17:15
MULTAN,p2,0,3/2/2022 17:30
MULTAN,p3,0,3/2/2022 17:45
MULTAN,p4,0,3/2/2022 18:15
MULTAN,p5,0,3/2/2022 18:30
MULTAN,p6,0,3/2/2022 18:45
MULTAN,p7,0,3/2/2022 19:15
MULTAN,p8,0,3/2/2022 19:30
MULTAN,p9,0,3/2/2022 19:45
GTPS.FAISALABAD,p1,0,3/2/2022 17:15
GTPS.FAISALABAD,p2,0,3/2/2022 17:30
GTPS.FAISALABAD,p3,0,3/2/2022 17:45
GTPS.FAISALABAD,p4,0,3/2/2022 18:15
GTPS.FAISALABAD,p5,0,3/2/2022 18:30
GTPS.FAISALABAD,p6,0,3/2/2022 18:45
GTPS.FAISALABAD,p7,0,3/2/2022 19:15
GTPS.FAISALABAD,p8,0,3/2/2022 19:30
GTPS.FAISALABAD,p9,0,3/2/2022 19:45
SPS.FBD,p1,0,3/2/2022 17:15
SPS.FBD,p2,0,3/2/2022 17:30
SPS.FBD,p3,0,3/2/2022 17:45
SPS.FBD,p4,0,3/2/2022 18:15
SPS.FBD,p5,0,3/2/2022 18:30
SPS.FBD,p6,0,3/2/2022 18:45
SPS.FBD,p7,0,3/2/2022 19:15
SPS.FBD,p8,0,3/2/2022 19:30
SPS.FBD,p9,0,3/2/2022 19:45
SHAHDARA,p1,0,3/2/2022 17:15
SHAHDARA,p2,0,3/2/2022 17:30
SHAHDARA,p3,0,3/2/2022 17:45
SHAHDARA,p4,0,3/2/2022 18:15
SHAHDARA,p5,0,3/2/2022 18:30
SHAHDARA,p6,0,3/2/2022 18:45
SHAHDARA,p7,0,3/2/2022 19:15
SHAHDARA,p8,0,3/2/2022 19:30
SHAHDARA,p9,0,3/2/2022 19:45
NANDI.PUR,p1,0,3/2/2022 17:15
NANDI.PUR,p2,0,3/2/2022 17:30
NANDI.PUR,p3,0,3/2/2022 17:45
NANDI.PUR,p4,0,3/2/2022 18:15
NANDI.PUR,p5,0,3/2/2022 18:30
NANDI.PUR,p6,0,3/2/2022 18:45
NANDI.PUR,p7,0,3/2/2022 19:15
NANDI.PUR,p8,0,3/2/2022 19:30
NANDI.PUR,p9,0,3/2/2022 19:45
JAGRAN,p1,3,3/2/2022 17:15
JAGRAN,p2,3,3/2/2022 17:30
JAGRAN,p3,3,3/2/2022 17:45
JAGRAN,p4,3,3/2/2022 18:15
JAGRAN,p5,3,3/2/2022 18:30
JAGRAN,p6,3,3/2/2022 18:45
JAGRAN,p7,3,3/2/2022 19:15
JAGRAN,p8,3,3/2/2022 19:30
JAGRAN,p9,3,3/2/2022 19:45
MALAKAND...III,p1,21,3/2/2022 17:15
MALAKAND...III,p2,21,3/2/2022 17:30
MALAKAND...III,p3,21,3/2/2022 17:45
MALAKAND...III,p4,22,3/2/2022 18:15
MALAKAND...III,p5,22,3/2/2022 18:30
MALAKAND...III,p6,22,3/2/2022 18:45
MALAKAND...III,p7,22,3/2/2022 19:15
MALAKAND...III,p8,22,3/2/2022 19:30
MALAKAND...III,p9,22,3/2/2022 19:45
NEW.BONG.ESCAPE,p1,86,3/2/2022 17:15
NEW.BONG.ESCAPE,p2,87,3/2/2022 17:30
NEW.BONG.ESCAPE,p3,87,3/2/2022 17:45
NEW.BONG.ESCAPE,p4,70,3/2/2022 18:15
NEW.BONG.ESCAPE,p5,73,3/2/2022 18:30
