Time,name,time_range_one,max_1,min_1,average,time_range_two,max_2,min_2,time_range_three,max_3,min_3
2022-03-02,HAWA.WIND..HEPL.,0100----2400,39,1,16.3939393939394,0100----1600,25,1,1700---2400,33,8
2022-03-02,TGT.WIND,0100----2400,23,0,9.90909090909091,0100----1600,16,0,1700---2400,23,5
2022-03-02,TGS.ENERGY,0100----2400,22,0,9,0100----1600,16,0,1700---2400,22,4
2022-03-02,TRICON.BOSTON..A.,0100----2400,18,0,8,0100----1600,17,0,1700---2400,17,4
2022-03-02,TRICON.BOSTON..B.,0100----2400,23,0,9.33333333333333,0100----1600,18,0,1700---2400,22,7
2022-03-02,TRICON.BOSTON..C.,0100----2400,26,0,11.4848484848485,0100----1600,25,0,1700---2400,26,8
2022-03-02,MASTER.GREEN.WIND,0100----2400,40,0,15.7878787878788,0100----1600,30,0,1700---2400,40,5
2022-03-02,TRICOM.WIND,0100----2400,33,0,13.5454545454545,0100----1600,16,0,1700---2400,31,3
2022-03-02,TENAGA.WIND,0100----2400,24,1,9.21212121212121,0100----1600,24,2,1700---2400,13,1
2022-03-02,DAWOOD.WIND,0100----2400,24,0,8.45454545454546,0100----1600,24,0,1700---2400,15,3
2022-03-02,ZEPHYR.WIND,0100----2400,32,1,17.0606060606061,0100----1600,30,1,1700---2400,30,4
2022-03-02,INDUS.WIND,0100----2400,35,0,10,0100----1600,35,0,1700---2400,21,1
2022-03-03,TARBELA,0100----2400,900,80,416.151515151515,0100----1600,460,80,1700---2400,840,260
2022-03-03,TARBELA.Ext.4,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,MANGLA,0100----2400,524,524,524,0100----1600,524,524,1700---2400,524,524
2022-03-03,GHAZI.BROTHA,0100----2400,870,0,405.757575757576,0100----1600,870,0,1700---2400,580,0
2022-03-03,WARSAK,0100----2400,154,20,50.4242424242424,0100----1600,30,20,1700---2400,154,20
2022-03-03,CHASHMA,0100----2400,49,20,31.9393939393939,0100----1600,49,26,1700---2400,26,20
2022-03-03,JINNAH.HYDEL,0100----2400,28,9,16.030303030303,0100----1600,28,9,1700---2400,24,12
2022-03-03,ALLAI.KHWAR,0100----2400,121,30,46.5454545454545,0100----1600,30,30,1700---2400,121,30
2022-03-03,KHAN.KHWAR,0100----2400,38,14,28.9090909090909,0100----1600,38,14,1700---2400,38,26
2022-03-03,DUBAIR.KHWAR,0100----2400,35,0,24.3939393939394,0100----1600,35,0,1700---2400,35,0
2022-03-03,NEELUM.JEHLUM,0100----2400,120,0,86.8484848484848,0100----1600,120,0,1700---2400,120,118
2022-03-03,GOLEN.GOL,0100----2400,7,0,6.09090909090909,0100----1600,7,6,1700---2400,7,0
2022-03-03,JAMSHORO,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,KOTRI,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,LAKHRA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,GUDDU...1.4,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,GUDDU...5.13,0100----2400,234.1444,191.841,227.734793939394,0100----1600,234.1444,191.841,1700---2400,234.1444,231.193
2022-03-03,GUDDU.747,0100----2400,386,0,153.363636363636,0100----1600,140,0,1700---2400,386,160
2022-03-03,QUETTA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,MUZAFFARGARH,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,MULTAN,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,GTPS.FAISALABAD,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,SPS.FBD,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,SHAHDARA,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,NANDI.PUR,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,JAGRAN,0100----2400,3,3,3,0100----1600,3,3,1700---2400,3,3
2022-03-03,MALAKAND...III,0100----2400,25,0,22.9090909090909,0100----1600,25,21,1700---2400,24,0
2022-03-03,NEW.BONG.ESCAPE,0100----2400,81,70,71.7575757575758,0100----1600,81,70,1700---2400,72,70
2022-03-03,PATRIND,0100----2400,50,0,29.8484848484848,0100----1600,50,0,1700---2400,50,0
2022-03-03,DARAL.KHWAR..BEHREN.,0100----2400,5,4,4.33333333333333,0100----1600,4,4,1700---2400,5,4
2022-03-03,GUL.PUR,0100----2400,35,31,33.5454545454545,0100----1600,35,31,1700---2400,35,32
2022-03-03,KAPCO,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,HUBCO,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,KEL,0100----2400,122,0,80.3939393939394,0100----1600,122,0,1700---2400,122,0
2022-03-03,AES.LALPIR,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,AES.PAKGEN,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,SEPCOL,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,HCPC,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,UCH,0100----2400,552,483,534,0100----1600,552,483,1700---2400,544,533
2022-03-03,ROUSCH,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,FKPCL,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,SABA,0100----2400,124,0,92.0606060606061,0100----1600,124,0,1700---2400,122,0
2022-03-03,JAPAN,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,LIBERTY.POWER,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,AEL,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,DAVIS,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,AGL,0100----2400,145,0,80.969696969697,0100----1600,144,0,1700---2400,145,0
2022-03-03,ATLAS,0100----2400,175,0,138.909090909091,0100----1600,175,0,1700---2400,175,0
2022-03-03,ENGRO,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,SAIF,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,ORIENT,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,NISHAT.POWER,0100----2400,165,0,48.969696969697,0100----1600,16,0,1700---2400,165,0
2022-03-03,NISHAT.CHUNIAN,0100----2400,196,0,108.575757575758,0100----1600,182,0,1700---2400,196,0
2022-03-03,FOUNDATION,0100----2400,170,79,156.515151515152,0100----1600,170,79,1700---2400,170,168
2022-03-03,SAPPHIRE,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,LIBERTY.TECH.,0100----2400,183,0,114.878787878788,0100----1600,183,0,1700---2400,183,0
2022-03-03,HUBCO.NAROWAL,0100----2400,156,0,79.2424242424242,0100----1600,100,0,1700---2400,156,0
2022-03-03,HALMORE,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,UCH.II,0100----2400,382,276,363.333333333333,0100----1600,380,276,1700---2400,382,371
2022-03-03,BHIKKI..QATPL.,0100----2400,563,0,237,0100----1600,563,0,1700---2400,0,0
2022-03-03,SAHIWAL..COAL..HSR.,0100----2400,1255,664,1138.39393939394,0100----1600,1255,664,1700---2400,1255,1210
2022-03-03,H.B.SHAH,0100----2400,1203,751,1076,0100----1600,1203,751,1700---2400,1193,759
2022-03-03,RESHMA.POWER,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,GULF.POWER,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,BALLOKI,0100----2400,1201,709,1072.84848484848,0100----1600,1196,709,1700---2400,1201,782
2022-03-03,PORT.QASIM.COAL,0100----2400,1254,663,1165.30303030303,0100----1600,1253,663,1700---2400,1252,1247
2022-03-03,ENGRO.THAR.COAL,0100----2400,152,0,9.18181818181818,0100----1600,152,0,1700---2400,0,0
2022-03-03,CHINA.HUBCO.COAL,0100----2400,630,275,568.575757575758,0100----1600,629,275,1700---2400,630,609
2022-03-03,LUCKY.COAL,0100----2400,458,0,191.515151515152,0100----1600,458,0,1700---2400,432,0
2022-03-03,JDW.II..SADIQ.ABAD.,0100----2400,22,16,20.0606060606061,0100----1600,21,20,1700---2400,22,19
2022-03-03,JDW.III..GHOTKI.,0100----2400,22,19,20.4545454545455,0100----1600,21,19,1700---2400,22,20
2022-03-03,RYKML,0100----2400,20,19,19.3939393939394,0100----1600,20,19,1700---2400,20,19
2022-03-03,CHINIOT.POWER,0100----2400,41,40,40.7878787878788,0100----1600,41,41,1700---2400,41,40
2022-03-03,FATIMA.ENERGY..FEL.,0100----2400,41,24,35.030303030303,0100----1600,39,24,1700---2400,41,34
2022-03-03,HAMZA.SUGAR,0100----2400,14,13,13.9090909090909,0100----1600,14,13,1700---2400,14,14
2022-03-03,THALL.POWER..LAYYAH.,0100----2400,21,19,20.0606060606061,0100----1600,21,19,1700---2400,21,19
2022-03-03,ALMOIZ.INDUSTRIES.LIMITED,0100----2400,0,0,0,0100----1600,0,0,1700---2400,0,0
2022-03-03,CHANAR.ENERGY.LIMITED,0100----2400,17,16,16.4242424242424,0100----1600,17,16,1700---2400,17,16
2022-03-03,CHASHNUPP...I,0100----2400,304,234,292.151515151515,0100----1600,304,234,1700---2400,304,304
2022-03-03,CHASHNUPP.II,0100----2400,314,244,302.242424242424,0100----1600,314,244,1700---2400,314,314
2022-03-03,CHASHNUPP.III,0100----2400,249,244,245.090909090909,0100----1600,249,244,1700---2400,244,244
2022-03-03,CHASHNUPP.IV,0100----2400,318,248,305.454545454545,0100----1600,318,248,1700---2400,318,318
2022-03-03,K.2,0100----2400,1044,942,1027.33333333333,0100----1600,1043,942,1700---2400,1044,1040
2022-03-03,QUAID.AZAM.SOLAR,0100----2400,82,0,18.3939393939394,0100----1600,82,0,1700---2400,21,0
2022-03-03,APPOLO.SOLAR,0100----2400,83,0,18.5454545454545,0100----1600,83,0,1700---2400,20,0
2022-03-03,BEST.GREEN.SOLAR,0100----2400,82,0,18.4545454545455,0100----1600,82,0,1700---2400,21,0
2022-03-03,CREST.ENERGY.SOLAR,0100----2400,83,0,18.3636363636364,0100----1600,83,0,1700---2400,21,0
2022-03-03,FFCEL.WIND,0100----2400,18,0,4.39393939393939,0100----1600,18,1,1700---2400,4,0
2022-03-03,ZEPL.WIND,0100----2400,17,0,5.06060606060606,0100----1600,17,2,1700---2400,6,0
2022-03-03,TGF.WIND,0100----2400,27,0,5.93939393939394,0100----1600,27,2,1700---2400,4,0
2022-03-03,FWEL.I.WIND,0100----2400,20,0,6.45454545454545,0100----1600,20,0,1700---2400,12,0
