Time,Name,category,Energy_MWh
3/2/2022 01:00,UCH,IPPs Fossil Fuel,540
3/2/2022 01:00,ROUSCH,IPPs Fossil Fuel,0
3/2/2022 01:00,FKPCL,IPPs Fossil Fuel,0
3/2/2022 01:00,SABA,IPPs Fossil Fuel,0
3/2/2022 01:00,JAPAN,IPPs Fossil Fuel,0
3/2/2022 01:00,LIBERTY.POWER,IPPs Fossil Fuel,0
3/2/2022 01:00,AEL,IPPs Fossil Fuel,0
3/2/2022 01:00,DAVIS,IPPs Fossil Fuel,0
3/2/2022 01:00,AGL,IPPs Fossil Fuel,0
3/2/2022 01:00,ATLAS,IPPs Fossil Fuel,0
3/2/2022 01:00,ENGRO,IPPs Fossil Fuel,0
3/2/2022 01:00,SAIF,IPPs Fossil Fuel,0
3/2/2022 01:00,ORIENT,IPPs Fossil Fuel,0
3/2/2022 01:00,NISHAT.POWER,IPPs Fossil Fuel,0
3/2/2022 01:00,NISHAT.CHUNIAN,IPPs Fossil Fuel,0
3/2/2022 01:00,FOUNDATION,IPPs Fossil Fuel,171
3/2/2022 01:00,SAPPHIRE,IPPs Fossil Fuel,0
3/2/2022 01:00,LIBERTY.TECH.,IPPs Fossil Fuel,0
3/2/2022 01:00,HUBCO.NAROWAL,IPPs Fossil Fuel,0
3/2/2022 01:00,HALMORE,IPPs Fossil Fuel,0
3/2/2022 01:00,UCH.II,IPPs Fossil Fuel,369
3/2/2022 01:00,BHIKKI..QATPL.,IPPs Fossil Fuel,502
3/2/2022 01:00,SAHIWAL..COAL..HSR.,IPPs Fossil Fuel,666
3/2/2022 01:00,H.B.SHAH,IPPs Fossil Fuel,756
3/2/2022 01:00,RESHMA.POWER,IPPs Fossil Fuel,0
3/2/2022 01:00,GULF.POWER,IPPs Fossil Fuel,0
3/2/2022 01:00,BALLOKI,IPPs Fossil Fuel,755
3/2/2022 01:00,PORT.QASIM.COAL,IPPs Fossil Fuel,816
3/2/2022 01:00,ENGRO.THAR.COAL,IPPs Fossil Fuel,242
3/2/2022 01:00,CHINA.HUBCO.COAL,IPPs Fossil Fuel,277
3/2/2022 01:00,LUCKY.COAL,IPPs Fossil Fuel,604
3/2/2022 01:00,JDW.II..SADIQ.ABAD.,IPPs Bagasse,20
3/2/2022 01:00,JDW.III..GHOTKI.,IPPs Bagasse,20
3/2/2022 01:00,RYKML,IPPs Bagasse,20
3/2/2022 01:00,CHINIOT.POWER,IPPs Bagasse,41
3/2/2022 01:00,FATIMA.ENERGY..FEL.,IPPs Bagasse,36
3/2/2022 01:00,HAMZA.SUGAR,IPPs Bagasse,14
3/2/2022 01:00,THALL.POWER..LAYYAH.,IPPs Bagasse,20
3/2/2022 01:00,ALMOIZ.INDUSTRIES.LIMITED,IPPs Bagasse,0
3/2/2022 01:00,CHANAR.ENERGY.LIMITED,IPPs Bagasse,16
3/2/2022 01:00,CHASHNUPP...I,IPPs Nuclear,304
3/2/2022 01:00,CHASHNUPP.II,IPPs Nuclear,314
3/2/2022 01:00,CHASHNUPP.III,IPPs Nuclear,249
3/2/2022 01:00,CHASHNUPP.IV,IPPs Nuclear,318
3/2/2022 01:00,K.2,IPPs Nuclear,1036
3/2/2022 01:00,QUAID.AZAM.SOLAR,Solar,0
3/2/2022 01:00,APPOLO.SOLAR,Solar,0
3/2/2022 01:00,BEST.GREEN.SOLAR,Solar,0
3/2/2022 01:00,CREST.ENERGY.SOLAR,Solar,0
3/2/2022 01:00,FFCEL.WIND,Wind,1
3/2/2022 01:00,ZEPL.WIND,Wind,3
3/2/2022 01:00,TGF.WIND,Wind,4
3/2/2022 01:00,FWEL.I.WIND,Wind,12
3/2/2022 01:00,FWEL.II.WIND,Wind,21
3/2/2022 01:00,SAPPHIRE.WIND,Wind,7
3/2/2022 01:00,METRO.WIND..MPCL.,Wind,12
3/2/2022 01:00,YOUNIS.WIND,Wind,12
3/2/2022 01:00,TAPAL.WIND.TWEPL.,Wind,4
3/2/2022 01:00,MASTER.WIND..MWEL.,Wind,2
3/2/2022 01:00,TAPAL.WIND..2,Wind,10
3/2/2022 01:00,GUL.AHMED.WIND,Wind,15
3/2/2022 01:00,ARTISTIC.WIND..2,Wind,5
3/2/2022 01:00,SACHAL.WIND,Wind,12
